BIOREGION,EVC,X_EVCNAME,EVC_BCS,area1750_ha,area2005_ha,proportion_remaining
Highlands - Southern Fall,897,Plains Grassland/Plains Grassy Woodland Mosaic,E,36.57,2.33,0.06371342630571507
Murray Mallee,96,Ridged Plains Mallee,E,468867.69,30144.13,0.06429133557912681
Wimmera,650,Heathy Woodland/Damp Heathy Woodland/Damp Heathland Mosaic,LC,3.42,0.22,0.06432748538011696
Murray Mallee,66,Low Rises Woodland,E,56726.75,3690.56,0.06505854821578885
Central Victorian Uplands,238,Plains Grassy Woodland/Creekline Grassy Woodland/Floodplain Riparian Woodland Mosaic,E,60.35,3.96,0.06561723280861641
Murray Mallee,826,Plains Savannah,E,92339.5,6065.15,0.06568315834502027
Victorian Volcanic Plain,81,Alluvial Terraces Herb-rich Woodland/Creekline Grassy Woodland Mosaic,E,84.66,5.57,0.0657925820930782
Gippsland Plain,68,Creekline Grassy Woodland,E,730.03,48.08,0.06586030711066669
Victorian Volcanic Plain,126,Swampy Riparian Complex,E,2308.66,152.52,0.06606429703810869
Gippsland Plain,22,Grassy Dry Forest,LC,438.2,28.97,0.06611136467366499
Warrnambool Plain,680,Freshwater Meadow,E,394.78000000000003,26.17,0.06629008561730584
Warrnambool Plain,53,Swamp Scrub,E,17222.489999999998,1149.67,0.06675399434112025
Otway Plain,175,Grassy Woodland,E,79082.78,5315.5199999999995,0.06721463256602764
Highlands - Southern Fall,688,Swampy Riparian Woodland/Swamp Scrub Mosaic,V,9.57,0.65,0.06792058516196448
Gippsland Plain,934,Brackish Grassland,E,749.26,51.46,0.06868109868403492
Victorian Volcanic Plain,714,Stony Knoll Shrubland/Plains Grassy Woodland/Plains Grassy Wetland Mosaic,E,53322.98,3670.82,0.06884123880548311
Gippsland Plain,924,Grassy Woodland/Swamp Scrub Mosaic,E,4223.57,293.67,0.06953122595339963
Warrnambool Plain,713,Damp Sands Herb-rich Woodland/Damp Heathland/Damp Heathy Woodland Mosaic,E,54988.5,3847.81,0.06997481291542777
Victorian Volcanic Plain,649,Stony Knoll Shrubland,E,165.91,11.65,0.07021879332168043
Gippsland Plain,300,Reed Swamp,E,67.2,4.74,0.07053571428571428
Goldfields,273,Plains Woodland/Plains Grassland/Gilgai Wetland Mosaic,E,137.78,9.73,0.07061982871244013
Murray Fans,824,Woorinen Mallee,V,374.09,26.56,0.07099895747012751
Wimmera,829,Chenopod Grassland,E,217.53,15.56,0.07153036362800533
Gippsland Plain,132,Plains Grassland,E,35831.49,2584.28,0.0721231520095871
Victorian Volcanic Plain,894,Scoria Cone Woodland,E,14487.63,1055.38,0.07284697359057349
Murray Mallee,803,Plains Woodland,E,31046.61,2308.96,0.07437076060800196
Victorian Volcanic Plain,132,Plains Grassland,E,868945.19,65264.75999999998,0.07510802839014505
Central Victorian Uplands,245,Granitic Hills Woodland/Heathy Dry Forest Mosaic,D,11.77,0.89,0.07561597281223449
Wimmera,981,Parilla Mallee,E,15770.31,1194.34,0.07573345102283975
Victorian Volcanic Plain,803,Plains Woodland,E,40593.6,3087.13,0.07604967285483427
Victorian Volcanic Plain,781,Damp Sands Herb-rich Woodland/Herb-rich Foothill Forest Mosaic,V,34.1,2.6,0.07624633431085044
Gippsland Plain,125,Plains Grassy Wetland,E,5317.13,406.47,0.0764453756067653
Gippsland Plain,699,Valley Grassy Forest/Swamp Scrub Mosaic,E,222.38,17.05,0.07667056389963127
Gippsland Plain,687,Swamp Scrub/Plains Grassland Mosaic,E,22221.96,1718.89,0.07735096274136036
Goldfields,321,Riverine Chenopod Woodland/Lignum Swamp Mosaic,V,31.68,2.52,0.07954545454545454
Warrnambool Plain,642,Basalt Shrubby Woodland,E,273.51,21.8,0.07970458118533144
Highlands - Northern Fall,703,Montane Grassy Woodland/Montane Grassland Mosaic,E,1868.42,149,0.07974652380085848
Murray Mallee,132,Plains Grassland,E,3868.13,310.63,0.08030495355636962
Victorian Volcanic Plain,83,Swampy Riparian Woodland,E,4660.03,375.44,0.08056600493988236
Gippsland Plain,651,Plains Swampy Woodland,E,20.87,1.6900000000000002,0.08097747963584093
Strzelecki Ranges,688,Swampy Riparian Woodland/Swamp Scrub Mosaic,E,30.56,2.4899999999999998,0.08147905759162304
Warrnambool Plain,3,Damp Sands Herb-rich Woodland,E,12682.65,1035.97,0.08168403291110297
